1063
0	0	1
2	1	3
2	1	4
2	1	5
2	1	6
2	1	7
8	1	9
8	1	10
8	1	11
8	1	12
8	1	13
8	1	14
8	1	15
16	0	17
18	1	19
18	1	20
18	1	9
21	0	22
23	0	17
24	0	25
26	0	25
27	0	25
28	1	29
28	1	30
28	1	13
28	1	31
28	1	32
33	0	17
34	1	35
34	1	36
37	1	20
4	0	38
39	0	40
41	0	42
43	0	44
45	0	40
46	0	47
48	0	40
49	1	50
49	1	5
51	0	39
52	1	53
52	1	54
52	1	55
56	1	57
56	1	26
56	1	58
56	1	59
56	1	60
56	1	61
62	1	63
62	1	64
62	1	65
62	1	66
67	0	25
21	0	17
68	0	42
69	1	70
71	0	44
72	0	17
27	0	73
5	0	47
74	0	75
76	0	44
77	1	72
77	1	54
78	0	17
79	0	25
28	0	0
80	0	25
81	0	33
82	0	22
83	1	84
83	1	70
85	1	86
85	1	87
85	1	88
85	1	89
90	1	60
91	0	17
58	0	92
93	1	53
93	1	94
93	1	95
96	0	75
97	0	25
98	1	56
98	1	99
98	1	100
98	1	57
98	1	101
98	1	102
98	1	60
98	1	103
36	0	104
105	0	47
106	0	1
107	1	4
107	1	108
107	1	109
107	1	110
107	1	111
36	0	1
3	0	38
112	1	41
112	1	113
112	1	114
112	1	115
112	1	116
112	1	117
118	0	44
119	0	47
120	0	17
121	1	36
121	1	122
121	1	88
121	1	35
121	1	123
124	0	25
125	0	17
111	0	47
126	0	39
127	1	24
127	1	27
127	1	128
28	0	1
129	0	47
130	0	92
131	0	40
132	0	47
29	1	28
133	0	1
130	0	25
134	1	132
134	1	135
134	1	136
134	1	137
9	1	30
9	1	11
9	1	18
9	1	133
9	1	19
9	1	13
9	1	8
138	0	25
139	0	140
41	1	113
41	1	112
41	1	114
65	0	141
6	0	38
142	0	44
102	1	98
102	1	60
35	0	104
143	0	39
74	0	47
84	0	25
35	0	1
144	0	17
145	0	47
100	0	73
58	0	25
26	0	146
147	0	75
148	0	40
96	0	47
149	1	46
150	0	1
76	1	125
103	1	98
151	0	75
152	0	0
13	1	30
13	1	9
13	1	153
13	1	32
13	1	12
13	1	28
13	1	8
9	0	1
75	0	47
32	0	1
154	0	138
155	0	33
49	0	47
30	1	19
30	1	28
30	1	9
30	1	13
156	1	157
156	1	158
159	1	86
159	1	160
161	0	40
102	0	25
162	0	163
164	0	1
42	0	1
44	0	17
52	0	17
165	0	25
166	0	44
165	0	138
34	0	104
167	1	60
168	0	138
169	0	17
128	0	73
38	0	47
170	0	40
171	1	86
41	0	1
6	1	2
6	1	5
6	1	158
6	1	7
164	0	42
111	0	141
89	0	172
173	1	162
35	1	34
35	1	36
35	1	121
174	0	17
172	0	1
175	0	47
72	0	22
